Datetime,LMP,CO2
1/1/2022 0:00,57.67852,267.7
1/1/2022 1:00,60.24222,270.94
1/1/2022 2:00,57.39671,279.28
1/1/2022 3:00,58.28615,281.91
1/1/2022 4:00,60.29981,285.46
1/1/2022 5:00,74.59861,284.97
1/1/2022 6:00,81.79997,287.38
1/1/2022 7:00,74.70314,279.98
1/1/2022 8:00,52.2439,201.12
1/1/2022 9:00,38.23336,159.41
1/1/2022 10:00,32.97946,150.16
1/1/2022 11:00,26.56514,143.06
1/1/2022 12:00,25.85542,144.24
1/1/2022 13:00,27.95407,150.33
1/1/2022 14:00,31.08449,173.27
1/1/2022 15:00,53.52211,203.63
1/1/2022 16:00,80.7348,250.35
1/1/2022 17:00,90.33,295.5
1/1/2022 18:00,90.24508,292.73
1/1/2022 19:00,86.64469,288.64
1/1/2022 20:00,81.36587,281.51
1/1/2022 21:00,78.13663,287.98
1/1/2022 22:00,74.69653,286.96
1/1/2022 23:00,64.95277,290.56
1/2/2022 0:00,64.66143,284.41
1/2/2022 1:00,62.45738,278.89
1/2/2022 2:00,62.34881,284.69
1/2/2022 3:00,62,288.28
1/2/2022 4:00,63.91882,285.22
1/2/2022 5:00,72.56,284.18
1/2/2022 6:00,74.64165,281.49
1/2/2022 7:00,70.22444,276.35
1/2/2022 8:00,51.39041,199.82
1/2/2022 9:00,38.25742,156.18
1/2/2022 10:00,31.31664,145.81
1/2/2022 11:00,26.53019,147.32
1/2/2022 12:00,24.9749,149.42
1/2/2022 13:00,25.69192,154.53
1/2/2022 14:00,29.81505,161.2
1/2/2022 15:00,51.4925,182.87
1/2/2022 16:00,75.19179,239.65
1/2/2022 17:00,89.97023,284.26
1/2/2022 18:00,87.3398,279.78
1/2/2022 19:00,85.98566,278.63
1/2/2022 20:00,82.11065,279.41
1/2/2022 21:00,75.45159,283.67
1/2/2022 22:00,69.91554,284.45
1/2/2022 23:00,67.53893,283.12
1/3/2022 0:00,65.64767,287.67
1/3/2022 1:00,65.03592,285.71
1/3/2022 2:00,64.68164,284.95
1/3/2022 3:00,64.11552,285.63
1/3/2022 4:00,66.17506,284.81
1/3/2022 5:00,76.78332,290.77
1/3/2022 6:00,102.15474,302.1
1/3/2022 7:00,97.89101,293.61
1/3/2022 8:00,73.08722,227.95
1/3/2022 9:00,59.01485,177.04
1/3/2022 10:00,48.58503,171.04
1/3/2022 11:00,47.47327,165.75
1/3/2022 12:00,47.04123,170.69
1/3/2022 13:00,45.51,177.91
1/3/2022 14:00,47.95523,182.92
1/3/2022 15:00,59.41016,218.51
1/3/2022 16:00,88.84038,269.28
1/3/2022 17:00,118.39322,286.61
1/3/2022 18:00,106.01051,282.38
1/3/2022 19:00,96.57795,282.06
1/3/2022 20:00,87.56517,281.72
1/3/2022 21:00,77.02145,276.64
1/3/2022 22:00,73.82088,264.66
1/3/2022 23:00,66.4597,266.92
1/4/2022 0:00,53.85454,267.95
1/4/2022 1:00,51.5709,264.98
1/4/2022 2:00,51.06826,271.6
1/4/2022 3:00,50.48933,276.55
1/4/2022 4:00,51.30543,277.78
1/4/2022 5:00,59.32763,280.01
1/4/2022 6:00,82.71461,282.57
1/4/2022 7:00,78.40198,284.27
1/4/2022 8:00,58.36407,224.98
1/4/2022 9:00,48.77462,170.04
1/4/2022 10:00,40.1064,154.59
1/4/2022 11:00,34.52654,151.81
1/4/2022 12:00,33.87618,154.6
1/4/2022 13:00,35.3396,153.28
1/4/2022 14:00,40.05863,163.24
1/4/2022 15:00,56.46015,192.52
